GID,IDENT,LIBELLE,ACTUEL,REF,CDATE,MDATE
2,21,Boulevards: Barrière Ornano à la Place Latule,720,755,2011-06-09,2024-02-15T07:10:00+01:00
3,22,Boulevards: Place Latule à la Barrière Ornano,720,826,2011-06-09,2024-02-15T07:10:00+01:00
4,23,Boulevards: Barrière Ornano au Rond point JJBosc,720,728,2011-06-09,2024-02-15T07:10:00+01:00
5,24,Quais: Rond point JJBosc à la Place Latule,960,1033,2011-06-09,2024-02-15T07:10:00+01:00
6,25,Quais: Place Latule à Rond point JJBosc,960,1001,2011-06-09,2024-02-15T07:10:00+01:00
7,26,Cours: Pont Saint Jean à la rue Lucien Faure via la Victoire et Gambetta,1080,1159,2011-06-09,2024-02-15T07:10:00+01:00
8,27,Cours: Rue Lucien Faure au Pont Saint Jean via la Victoire et Gambetta,1200,1209,2011-06-09,2024-02-15T07:10:00+01:00
9,28,Thiers : Pont de Pierre à la Mairie de Cenon,540,521,2011-06-09,2024-02-15T07:10:00+01:00
10,29,Thiers : Mairie de Cenon au Pont de Pierre,540,537,2011-06-09,2024-02-15T07:10:00+01:00
11,30,Joliot Curie : Pont Saint Jean à Avenue Thiers,240,219,2011-06-09,2024-02-15T07:10:00+01:00
12,31,Joliot Curie : Avenue Thiers au Pont Saint Jean,240,241,2011-06-09,2024-02-15T07:10:00+01:00
13,32,Aliénor: Place Latule à la Rocade,120,117,2011-06-09,2024-02-15T07:10:00+01:00
14,33,Aliénor: Rocade à la Place Latule,120,116,2011-06-09,2024-02-15T07:10:00+01:00
15,34,4 pavillons : Mairie de Cenon à la Rocade,240,122,2011-06-09,2024-02-15T07:10:00+01:00
16,35,4 pavillons : Rocade à la Mairie de Cenon,180,192,2011-06-09,2024-02-15T07:10:00+01:00
1,20,Boulevards: Rond point JJBosc à la Barrière Ornano,720,686,2011-06-09,2024-02-15T07:10:00+01:00
